text,label
"CSI:Cyber S01 E01-02 

Kybernetisk kalkun uten sidestykke. 

Jeg ser på meg selv som noe av en samlebåndskrim-aficionado. 
En begeistring for førtifem kompakte minutter med sånn passe avansert whodunit med konklusjon i hver episode har ført til at jeg har latt meg henholdsvis fascinere, skjemmes av og etter hvert respektere faget som etter hvert har fått navnet «police procedural». 
Av alle fasonger disse kan ta kan man rangere de største showene ca. slik: 

Et godt stykke under disse finner man CSI: 
Cyber; den siste og med solid margin veikeste avarten av denne merkevaren så langt. 

Her møter vi Patricia Arquette som psykolog Avery Ryan. 
På grunn av en nokså syltynt forklart motivasjon som handler om at hun ble hacket og dermed fikk en pasient drept, har hun nå skiftet beite og vier sitt liv til å fakke cyber-røvere ved hjelp av sine psykologievner. 
Dette gjør hun sammen med sin lealause bande av antihelter. 

Innenfor denne gjengen finner vi blant andre James van der Beek (Dawson’s Creek) som er tidligere Navy Seal og Shad Moss (den gamle rapperen Lil’ Bow Wow) som en tidligere ond hacker som under tvang har blitt snill. 
Gjengen kompletteres av en jovial, rund, «Hurley»-aktig hacker med frekke kommentarer og vittige klær, en Lisbeth Salander-aktig ekspert på sosiale medier (!) som til alt overmål lyder karakternavnet Raven Ramirez, og til slutt Peter MacNicol (Ally McBeal) som bekymret sjef som alltid har et svare strev med å underrette presidenten og stå til ansvar for denne komplekse gjengens kontroversielle metoder. 

Første gang vi møter våre venner er et helvete løs fordi en ansiktsløs hacker har gått til angrep på en hel bunke babycall-anlegg rundt om, og Ryan bruker sin innsikt i menneskesinnet til å kjapt dedusere seg frem til at det er noe større på gang. 
Hennes metoder gjennom serien synes i beste fall lekmanns, da de stort sett går ut på å lese folks ansiktstrekk ved konfrontasjon (jfr. 
Lie 
To Me) og bla gjennom diverse profilbilder og statusoppdateringer på «Facebook». 

Ad slike omveier utløses ståhei mikset med en salig blanding av mer eller mindre tilfeldig bruk av sjargong (Malware! 
Deep Web!), dramatiske bilder av gapende fjes som ser mot alskens dataskjermer og en del tilfeller av ekstrem-tasting som tyder på utrolig lite effektiv touchbruk. 
I episode to presenteres franchisens til nå latterligste plot, som innebærer at en kis overstyrer en berg-og-dalbane med noe bluetooth-teknologi for å bli med i en gjeng. 
Ta DEN, WarGames! 

Av alle problemer denne serien har er det faktum at morderen er usynlig frem til slutten et av de største. 
Noe av underholdningen i de beste eksemplarene av denne sjangeren er at man på et eller annet tidspunkt i løpet av episoden møter den skyldige som en av de mistenkte. 
I CSI: 
Cyber brukes altfor mye energi på å vise hvordan man finner frem til ham (stort sett basert på nevnte sjargong og en del overforklart grafikk), og konklusjonen er i begge tilfeller lite tilfredsstillende eller engang troverdige. 

Jeg er generelt skeptisk til bruken av én hovedhistorie som man dryppvis er innom over en hel sesong i denne type serier. 
Den eneste gode løsningen er Patrick Janes nemesis Red John i The Mentalist, mens man ellers må ta til takke til tynnere seriemordergreier som Gormogon og Christopher Pelant i Bones eller dette tullet med at telefonen til Gary Sinise i CSI: 
NY alltid ringer kl. 3:33. 
Allikevel setter jeg nå mer enn tidligere pris på at de har forsøkt, for i CSI: 
Cyber er det ingen å spore, annet enn et noe temmelig uengasjerende møte med søsteren til dr. 
Avery. 
Nå er det mulig det rulles ut noe mer utover i sesongen, men det å starte første episode uten noe som helst av bunn å gripe fatt i er i beste fall modig, når hovedtemaene i episodene er såpass sjokkerende usmidige som de er her. 

Castingen er hysterisk nok i seg selv, og den blir ikke bedre av å se introen. 
Spesielt kan man merke seg brynene til James van der Beek og den oppgitte «you guys»-hoderystingen til Shad Moss. 
Det er også verdt å notere at de har stjålet supringen til Watch Dogs og at de har valgt en annen The Who-låt som signaturmelodi. 

Terningkast én er velfortjent for denne hysteriske smørjen av sjargong og plotthull, men også med mulighet for at dens åpenbare kalkunegenskaper gir den kultseriepotensiale. 
Dersom ikke det kommer en black hat-hacker og stjeler manusene før den tid. 
""It could happen to you"", som Arquette sier. 

«CSI: Cyber» har premiere på TVNorge klokken 21:30 onsdag 6. mai. 
",0
"Secrets and Lies S01 E01 - E02
Overspilt forstadsmareritt. 

Secrets and Lies setter spaden i den amerikanske forstadsjorda, og prøver å vise oss hvor mye løgn, bedrag og fatale hendelser som foregår under den velfriserte fasaden. 

Dessverre blir serien en forutsigbar og overspilt dramakrim, hvor spesielt Juliette Lewis leverer en ufrivillig komisk versjon av «stirrende etterforsker». 

Anklaget for drapet på nabogutten 

Under en morgenjoggetur finner familiemannen Ben Crawford (Ryan Phillippe) liket av nabogutten langs en skogssti. 
Han prøver på gjenoppliving og varsler politiet. 
Men hans status som god hjelper utfordres kraftig da etterforsker Andrea Cornell (Juliette Lewis) setter Crawford på toppen av mistenktlisten. 

Det fører til et enormt press på Crawford, hans kone og to døtre. 
Politiet stikker stadig innom med nye spørsmål, naboene trekker seg mer og mer unna og media beleirer eneboligen fra morgen til kveld. 

Det hele fortelles med Ben Crawford som utgangspunkt. 
Serien fokuserer mer på «er han skyldig» enn «hvem er morderen». 
Og viser oss hvordan nabolagets hemmeligheter presses fram under trykket av politiets etterforskning og medias stadige snoking. 

Se min grimase 

Juliette Lewis er et veldig dårlig valg som etterforsker Andrea Cornell. 
Hun setter opp en stram grimase, stirrende med sammenbitte tenner, og tviholder på den i samtlige scener. 

Det er også et problem at Lewis virker så fornøyd med noen av replikkene sine, at hun får et selvtilfreds skinn i ansiktet når hun avleverer dem. 
Figuren oppleves parodisk uten at serien hverken kler den komiske dimensjonen. 

Aller verst er det at det må komme inn en advokat å forklare oss at Cornell faktisk er en superdyktig etterforsker. 
Synd at manus, eller Juliette selv, ikke evner å vise oss at hun er smart. 

Ryan Phillippe er også en liten lidelse å se på. 
Han klarer ikke å bryte ut av «jeg er så grepet av disse begivenhetene»-uttrykket sitt. 

Han spiller kjærlig familiefar når han er i samme rom som døtrene, veltrent actionpappa når han må løpe eller slå til noen, og han skrur ansiktsmasken sin til trist og litt selvklandrende når han tenker på den stakkars nabogutten. 

Det er lite utvikling og samsvar mellom disse uttrykkene. 
Og etter to episoder framstår ikke Ben Crawford som en helhetlig og troverdig figur. 

Det gjør også at det spennende grepet med å følge historien fra den mistenktes perspektiv ikke griper så godt. 

Klarer ikke å bruke forstaden 

Serien klarer heller ikke å få noe særlig ut av sine omgivelser i de to første episodene. 
Naboene blir aldri mer enn leverandører av olme blikk, og forstaden blir bare en steril kulisse. 
Serien foregår i forstaden, men forstaden foregår ikke i serien. 
Secrets and Lies fronter dermed den samme fasaden som den tilsynelatende ønsker å utfordre. 

Heller ikke presseoppbudet som camper utenfor huset får noen annen rolle enn å være støy som plager familien. 
Her er det ingen gode replikkvekslinger eller bånd mellom nabolag og media. 
Dette til tross for at det er TV-apparatet som kommer med flere viktige avsløringer. 

Seriens sterkeste kort er drapsgåten, som er både grusom og mystisk. 
Og med et helt nabolag av mulige skurker, er det alltid litt spennende å samle spor og gjette hvem som er morderen. 

Den øvelsen redder ikke serien fra å levere dårlig håndverk på manus- og skuespillersiden. 
Men hvis du liker lett dramakrim befolket med overtydelige figurer som byr på sladdervennlige løgner og hemmeligheter, så er dette en tålelig grei drapsgåte å følge på lyse sommerkvelder. 

Det finnes likevel mye bedre alternativer til de ulike bestanddelene som utgjør Secrets and Lies: 

Vil du se om Ryan Phillippe er skyldig eller uskyldig – se heller filmen The Lincoln Lawyer. 

Vil du se mer gripende krim om barn som blir drept og dumpet i turterreng – se heller krimserien Bosch eller Gene Hackman og Morgan Freeman i filmen Under Suspicion 

Vil du se forstadslivets hemmelige sider i all sin ubehagelighet — se heller Happiness eller American Beauty. 

Secrets and Lies er basert på en australsk originalserie med samme navn. 
Den har jeg ikke sett, men hvis du liker sjangeren, kan det være at originalen byr på bedre underholdning. 

Secrets and Lies har premiere på TVNorge tirsdag 23. juni kl. 22.30. 
",0
"Between S01
Et lovende utgangspunkt ender som klisjefylt konspirasjonssuppe. 

Av og til stiller man seg veldig lagelig til for et ""hva var det jeg sa?!"". 
Og til alle som ristet oppgitt på hodet av mitt håpefulle førsteinntrykk av serien Between, dere er hjertelig velkommen til å la meg høre det nå. 

Jeg tok nemlig skammelig feil, da jeg etter første episode trodde dette kunne bli en spennende og underholdende trykkokerserie. 

Til tross for et smått spennende konspirasjonsmysterium i bunn, Between er en uforløst blanding av dårlig dialog og tåpelige tilfeldigheter framført av en gjeng overdramatiserende skuespillere. 

Alle over 21 må dø 

Between hiver oss inn i den lille byen «Perfect Lake» i det alle over 21 år plutselig begynner å falle om med blodgalle rennende fra nese og munn. 
Myndighetene roper virusutbrudd, og militæret bygger et gigantisk gjerde rundt den lille byen. 

Under streng karantene begynner byens ungdom å danne sitt eget samfunn. 
Ishockeylaget patruljerer gatene med rifler, de doplangende bondeguttene lurer rundt i skogholtene og prestens datter samler de minste barna i et provisorisk barnehjem. 

Det blir stadige konfrontasjoner om makten i det nye isolerte samfunnet. 
Og med tenåringsgraviditet, et uventet selvmord og sms-basert utroskap, er det rikelig med gamle hemmeligheter som virvles til overflaten. 

Det jobbes også med å løse det store virusmysteriet, og skolens naturfagsekspert Adam (Jesse Carere) er på sporet av en stor konspirasjon. 

Ingen spenning, ingen sjarm 

Hovedproblemet til Between er at serien aldri klarer å skape driv og spenning ut av premisset sitt. 

Et dødelig virus, en militær trussel og masse tenåringsintriger er egentlig rikelig med drivstoff til underholdning. 
Men uten retning, står bare Between og spinner på stedet hvil i seks episoder og skufler opp sjangerklisjeer og dårlig motiverte konflikter. 

De unge innbyggerne i «Perfect Lake» er karikerte og forutsigbare pappfigurer som overforklarer alle følelsene sine med platt dialog. 

Det flaueste grepet er bruken av drømmende voice over, som lar oss høre hva tenåringene tenker når de har det vanskelig. 
Aller verst er det når byens rike hockeystjerne (Justin Kelly) jogger i sakte film mens vi hører hans indre sjeleliv på lydsiden. 
Det grepet er så cheesy og så overtydelig at det er lattervekkende dårlig å se på. 

Det er også tydelig at skuespillerne ikke leverer bra nok. 
Mye av skylden skal nok dårlig dialog og et ufokusert manus ha, men det er flere øyeblikk hvor framførelsen blir så mekanisk at jeg rives ut av fiksjonsuniverset. 

Jeg håpet etter første episode at serieskaper Michael McGowan skulle klare å leke med klisjeene og erketypene og ikke bare reproduserer dem. 
Dessverre er dette bare banale figurer som ikke evner å skape en verden vi hverken trives i eller bryr oss om. 

Serien har en god første episode, og den klarer å skape litt spenning rundt hovedmysteriet i seriens siste episode, men det som kom imellom var seigt, flaut og kjedelig. 
Ikke lag en sesong til med dette. 

Hele sesong 1 av Between ligger nå ute på Netflix. 
",0
"The Shannara Chronicles S01 E01 - 04
En forslitt fantasyhistorie som ikke bringer noe nytt til bordet. 

New Zealands ville natur er den perfekte settingen for gode eventyrfortellinger, noe vi alle fikk oppdage med Peter Jacksons Ringenes Herre-filmer. 
Men hva er det med det her landet og halvdårlige fantasyserier? 

Hercules, Xena: Warrior Princess, den forferdelige Legend of the Seeker, for ikke å glemme The Tribe er noen eksempler. 
Da jeg fant ut at MTV skulle lage serien The Shannara Chronicles «down under», med Smallville-forfatterne Miles Millar og Alfred Gough ved roret, ble jeg derfor ikke umiddelbart gira. 

Serien er en adaptasjon av Terry Brooks andre book i Shannara-trilogien, en serie som var viktig for fantasysjangerens fotfeste i populærlitteraturen på 70- og 80-tallet. 

Personlig har jeg aldri blitt fullstendig fenga av Brooks svært Tolkien-inspirerte univers, og MTVs versjon av fortellingen klarer heller ikke å overbevise meg. 

Med klisjéfulle rollefigurer, et halvdårlig manus og skuespillere som ikke klarer å forbedre det, blir The Shannara Chronicles en middelmådig TV-serie du lett kan droppe. 

To helter må stanse verdens undergang 

Serien er satt langt inn i fremtiden, mange hundre år etter en atomkrig som nesten utslettet menneskene. 
Alver, dverger, gnomer og troll befolker nå kloden sammen med det som er igjen av menneskeheten. 

Vi følger alveprinsessen Amberle Elessedil, spilt av Poppy Drayton (Downton Abbey) og bondegutten Wil Ohmsford, spilt av Austin Butler (The Carrie Diaries), som er halvt menneske, halvt alv. 

Når alvenes magiske Ellcrys-tre, som vokter fengselet til mørkets demoner, begynner å dø, står verden i fare for undergang. 
Som to usannsynlige helter og utvalgte, kastes Amberle og Wil plutselig ut i et episk eventyr for å redde verden. 

Oppe i alt dette finner vi John Rhys-Davies, aka Gimli, i rollen som alvekongen Eventine Elessedil, Manu Bennet (Arrow, Spartacus: Blood and Sand) som den eneste gjenlevende druiden og Ivana Baquero (Pans labyrint) som den frekke røverjenta Eretria. 

Dårlig kjemi 

Det er et skuespillerensemble med flere greie skuespillere, men ingen av dem gjør sitt livs rolle, til det er manuset for dårlig. 
Serien har en viss putefaktor på grunn av flaue replikker som er ment å være morsomme, og dårlig kjemi mellom skuespillerne gjør ikke saken bedre. 

Austin Butler har en viss surfeguttaktig sjarm (som nok hadde hatt større effekt på meg om jeg hadde vært ti år yngre), og Poppy Drayton får nesten til rollen som sterk og egenrådig prinsesse, men samspillet mellom de to skuespillerne er fullstendig blottet for kjemi. 

Ivana Baquero er brukbar som den hardtslående og ubeskjedne Eretria, men personlig sliter jeg med å akseptere «hun lille jenta fra Pans labyrint» som sensuell fristerinne. 

John Rhys-Davies har tyngden til å spille konge, selv om det selvfølgelig er helt feil å se Gimli fra Ringenes Herre i rollen som alv. 
Seriens mest interessante figur er nok Manu Bennets Allanon, som Bennet spiller med sin vanlige røffe framtoning. 

Flott natur, pinlige kostymer 

Når det er MTV og ikke HBO som produserer en fantasyserie, kan man ikke forvente like god produksjonsdesign som i Game of Thrones. 
Likevel lar jeg mer irritere av kostymene i serien. 

Forsøket på å blande middelaldersk og moderne design har gått fullstendig skeis. 
Mange av kostymene ser svært billige ut, og selv om serien foregår i fremtiden blir kombinasjonen av lærkorsett og olabukser merkelig. 

De visuelle effektene er imidlertid ikke de aller verste jeg har sett i en produksjon som dette, og sammen med New Zealands eventyrlige landskap blir det slettes ikke så ille. 
Serieskaperne utnytter dette for alt det er verdt med flotte kjøringer over vakker natur og actionsekvenser som foregår ute. 

Fenger ikke 

Terry Brooks fikk i sin tid mye kritikk for å låne for mye fra Ringenes Herre i den første boken i trilogien, og TV-serien bringer heller ikke noe nytt til bordet. 
Du har sett og hørt alt før. 
Hvis man skal lage et produkt hundre andre har lagd før deg, så må man gjøre det bedre, men det har ikke serieskaperne klart med The Shannara Chronicles. 

Det er grenser for hvor mye karakterutvikling man kan presse inn i episoder på 42 minutter, og derfor klarer ikke serien å bygge opp noe stort engasjement for rollefigurene hos meg. 
Når historien heller ikke fenger noe nevneverdig, er det ikke mange grunner igjen til at jeg skal gidde å følge med på serien videre. 

På tross av min kritikk, så tipper jeg likevel at The Shannara Chronicles kommer til å gjøre det bra på MTV og hos HBO Nordic her til lands. 
Pene mennesker i lærklær (typen til Vanessa Hudgens, liksom), magi og eventyr – serien appellerer nok til fantasyglade tenåringer. 

Men selv om jeg elsker eventyr, alver og trolldom, klarer jeg ikke å like denne serien – kvaliteten er for dårlig. 
I likhet med tidligere nevnte Hercules er jeg skuffa... 

«The Shannara Chronicles» ser du hos HBO Nordic. 
Nye episoder hver onsdag. 
",0
"Fuller House S01 E01 - E03
Fullstendig utdatert. 

Jeg har aldri opplevd maken til et så anstrengt nostalgiforsøk som i Fuller House. 

Dette er ikke en serie som ønsker å leve i 2016, dette er en selvforherligende gjenforeningsfest som har blitt dratt for langt. 

Det eneste nye vi serveres er metahumor om at Olsen-tvillingene ikke ville være med på comebacket. 

Ellers er vitsene så utdaterte og rollefigurene så karikerte at selv skuespillerne sliter med å holde maska. 

Og mengden referanser til Full House i innledningen er faktisk så massiv, at handlingen i Fuller House overdøves fullstendig. 
Det tipper helt over når vi får split-screen av de to seriene sammen, så vi kan se hvor identiske scenene er. 

Tre menn damer og en baby 

Full House gikk på skjermen i USA mellom 1987 og 1995, og var godt ettermiddagsselskap for norsk ungdom utover på 90-tallet. 

Familievennlig og søtt, men også litt relevant og frisk, da serien tok inn over seg et dødsfall på mor, og hvordan tre menn skulle klare å oppdra tre døtre. 

Så 29 år senere har historien gjentatt seg. 
Eldstedatter D.J (Candace Cameron Bure) har akkurat mistet sin mann, og har tre små barn hun må oppdra alene. 
Men akkurat som sin far, får hun hjelp av familie og venner da søster Stephenie (Jodie Sweetin) og nabo Kimmy Gibbler (Andrea Barber) flytter inn. 

Jeg synes serieskaper Jeff Franklin er direkte kjip mot rollefiguren D.J Tanner, som først må miste sin mor, og så sin mann. 
Men Franklin er tydeligvis fast bestemt på å følge sin 29 år gamle mal til punkt og prikke, så da gjør han ikke mer enn nødvendig på manusfronten. 

Serien vil nok vil gi gjensynsglede og litt latter til Full House-fansen, men dette er en blek kopi. 
Manuset er et tynt oppkok på gammel spiker, og gamle barnestjerner blir ikke nødvendigvis gode skuespillere. 
Bure, Sweetin og Barber har sine øyeblikk, men de tre nye hovedrollene holder ikke nivået, og har ikke registeret, til Bob Saget, John Stamos og Dave Coulier. 

Det betyr at serien blir fattig på gode figurer. 
Originalseriens foreldre drar etter første episode, og den nye gjengen barneskuespillere imponerer ikke etter tre episoder. 

En mislykket gjenoppliving 

Serien prøver også å skape litt wow-faktor med noen gjestestjerner. 

Det grøsset nedover ryggen min da soulartist Macy Grey, som har en omfattende og tafatt gjesteopptreden i episode 3, ropte til publikum at hun har et album til salgs. 

Men en så brautende produktplassering er kanskje ganske beskrivende for en serie som verbalforklarer alt som skjer i handlingen, og hvor John Stamos har fått replikken: 
""Damn we all still look good"". 

Fuller House gjenoppliver formatet til 80- og 90-tallets kjernesunne familieserier, med ledende publikumslatter og korte punchlinefyllte dialoger. 

Det er et forslitt serieformat, og når serieskaper Jeff Franklin ikke har særlig mer enn selvplagiat og utdatert humor å komme med, så blir Fuller House en usjarmerende kloning av en utdatert suksessformel. 

Hollywood har lært oss at det sjeldent er lurt å tukle med DNA-et til utdødde raser, denne seriedinosauren burde aldri vært vekket til live. 

Hele første sesongen av Fuller House har premiere på Netflix den 26. februar. 
",0
"Final Fantasy:All The Bravest 

Styr unna! 

Helt siden 1987 har japanske Square Enix servert episke historier i spillserien Final Fantasy. 
I løpet av det siste året har en rekke av de gamle spillene blitt utgitt på nytt til blant annet iOS. 

Final Fantasy: 
All The Bravest er første nyutviklede spill i serien som er lagd med nettopp mobiltelefonspillere i fokus. 

Derfor er det trist å se at Square Enix har fjernet alt som gjorde Final Fantasy-spillene bra. 
All The Bravest er et tomt skall av et spill du trygt kan styre unna. 
Faktisk tror jeg spillet kun har ett mål for øyet, nemlig å tømme lommeboka. 

Innholdsløst spill 

For å strømlinjeforme spillopplevelsen på mobiltelefonen har Square Enix fjernet fokuset på både historien og på figurene. 
I sentrum står et forferdelig kampsystem som også gjør skam på det turbaserte systemet spillserien er blitt kjent for. 

Spilleren reiser gjennom generiske fantasykart og møter nye motstandere for hvert brett. 
Noen ganger er det mange mindre mektige fiender, noen ganger en stor hovedmotstander (boss). 
Måten kampene gjennomføres på er lik hver gang – du trykker på den enheten på laget ditt som skal angripe. 
Og det er alt. 

Etter hvert får du nye unike kampenheter som gjør laget ditt både mangfoldig og rustet til å møte nye vanskelige motstandere, men alt foregår på samme vis. 
Du trykker på din enhet, som så angriper. 
Dette skjer også i sanntid, noe som gjør at Final Fantasy: 
All The Bravest blir et repeterende vrak av et spill. 

Dette spillet fortjener ikke å bære Final Fantasy-navnet. 

Og når du attpåtil blir oppfordret til å låse opp nye enheter ved å gjøre mikrotransaksjoner i spillet (du kan ende opp med å bruke opptil 250 kroner på ubrukelig innhold som ikke gjør spillopplevelsen bedre) blir jeg oppriktig forbannet. 
Styr unna! 
",0
"Contrast
Gode ideer blir ikke automatisk til et godt spill. 

Konseptet bak Contrast er både originalt og smart. 
Ved å klikke på en knapp kan du bytte mellom å la spillets hovedperson Dawn utforske en emoinspirert spillverden i tre dimensjoner, og la henne omformes til en skygge som kan nå tidligere utilgjengelige områder som en skyggefigur sett fra lysets perspektiv. 

Skygger eksisterer først når de faller på en vegg eller andre ting – de eksisterer altså i to dimensjoner – og det som tidligere var en parasoll kan nå være en perfekt plattform for å klatre enda høyere opp over hindringene. 

Ved å ta i bruk ulike lyskilder kan du også manipulere skyggene omkring, og ved kløktig bruk overvinner og oppklarer du kanskje mysteriet: 
Er det mulig å endre på fortiden for å redde fremtiden? 

Det er ingen liten oppgave den datastyrte jenta Didi ber deg om hjelp til. 

Og før du går amok i kommentarfeltet for at jeg omtaler Contrast som «emoinspirert». 
De ulike stilelementene – 20-tallet, art deco og goth – blandes sammen på en måte som mest av alt ligner en reklamekampanje for den nyeste filmen til Tim Burton. 

Livløst 

Den livløse spillverdenen som omgir Dawn er fylt med usynlige vegger og oppleves som livløs. 
I bysekvensene møter du knapt andre figurer, og jeg tror ikke på den fantasiverdenen som presenteres. 
Figuranimasjonene er også repeterende og robotaktige, med repeterende bevegelser som mest av alt gir med assosiasjoner til de mekaniske julenissedukkene som hopper opp på kjøpesentre i disse dager. 

Måten du samhandler med omverdenen på er også nesten utelukkende med en eneste knapp – firkant-knappen. 
Det er repeterende. 

Når historien også er uklar på hvorfor skyggene eksisterer, hvorfor Dawn kan bytte mellom de to verdenene, og attpåtil avsluttes så brått at jeg lurte på om spillet inneholdt en alvorlig teknisk feil, er det bare å legge fra seg spillkontrolleren. 

Spillverdenens visuelle stil er stemningsskapende – spesielt er det mye å oppdage av konseptkunst, plakater og musikk – men spillverdenen faller dødt til jorden når du faktisk begynner å utforske den. 
Byttet mellom 3D- og 2D-perspektiv, og skyggespillet, kan skape unike utfordringer i et plattform- og puslespill som dette, men blir både repeterende og uinspirert etter kort tid. 

Sett hver for seg er dette ulike elementener som på papiret gjør Contrast spennende, men sluttresultatet er det motsatte. 

«Contrast» er et nedlastbart spill som er testet på Playstation 4 – spillet inngår i den pågående lanseringskampanjen og er gratis for abonnenter av Plus-ordningen til Sony. 
",0
"Over stokk og stein
Mye vilje fra discopopbandet på by:Larm. 
Men så var det resten. 

Ved første lytt er jeg usikker på om WDSTCK er ironiske eller om de er seriøse. 

Men for all del - gruppen fra blodbyen ble plukket ut til Urørtfinalen med god grunn. 
""Flowers"" er en livsbejaende discopoplåt som tråkker i samme sti som Proviant Audio og tidvis Lemaitre. 
På en bra måte. 

Fra Urørtfinalen til by: 
Larm på under et år, altså. 
Bandet kompisen min mener er en vellykket sketsj, er en av de siste actsa som spiller på festivalens første kveld, for anledningen P3-scenen. 

Det slår meg hvor pregløse låter det er. 
Det aller meste av materialet høres ganske likt ut. 
WDSTCK jobber i en sjanger som er ""positiv"", derav de de meterlange glisene på bandmedlemmene. 
Forståelig det, disco er jo i utgangspunktet ganske fett. 

WDSTCK - ""Flowers"" live på Urørtfinalen 2015: http://youtu.be/TZZ244EKed0 

Altså, det ser ut som de seks på scenen har det skikkelig rått. 
Det står ikke på viljen her. 
De joviale rytmene, da ser vi bort fra at bandet ikke er særlig samspilt, får vokalisten til hoppe av glede. 
Den største innvendingen er mangelen på evnen til å lage spor som ikke er kliss like. 

Den tilmålte tiden går i forskjellige versjoner av samme låt. 
Det er sikkert fint for tilhengerskaren som deler gleden med resten av bandet der de står foran scenen og klapper i takt. 

I bunn og grunn spiller WDSTCK med stor appetitt, men variasjonen uteblir. 
Konserten er lite minneverdig, til tross for gode intensjoner og pågangsmot, da. 

Bildegalleri 
",0
"Luftslottet
Galantis kom til Slottsfjell med en kjempehit og drøssvis av skitne partytriks. 

Selv om Galantis er et relativt nystartet edm-prosjekt, kan bandets to svenske medlemmer skilte med Slottsfjellfestivalens sterkeste CV: Christian Karlsson har bidratt i popsensasjonen Miike Snow, skrevet låter for Kylie Minogue, Madonna og Britney Spears. 
Mens Linus Eklöw på sin side har gledet danseglade under navnet Style of Eye og ikke minst; han står bak Icona Pops megahit ""I Love It"". 

Produsentduoen går på Kongescenen til sinnsykt høye flysirener (og høyere skal lyden bli -på grensen til uforsvalig faktisk), før festivalens dummeste spørsmål følger: 
-""Slottsfjell, hur mår ni?"". 
For kidsa som har fylt hele området foran scenen er nemlig ekstremt klare for å feste med de to partysvenskene som står bak en av årets største hits, ""Runaway (U & I)"". 

Og det er overraskende nok den de åpner settet med. 
Topp stemning! 
Der i fra og ut viser det seg derimot at Galantis ikke har noe mer enn den hiten, de skitneste partytriksene i den svenske partyboka og to stykk fårete dollarglis å komme med - for i motsetning til den hardtarbeidende og karismatiske Charli XCX er det ingenting ved det timeslange ""dj-settet"" Christian og Linus serverer som imponerer. 

La oss ta partytriksene i stigende (og/eller synkende) rekkefølge: 
Lufthorn, Galantisflagg, få publikum til å sitte før et (av uttallige) take-offs, luftkanoner, en stum maskot, synkronisert hopping ned fra ""dj-bordet"", allsang til en edm-dopet ""Seven Nation Army"" - ja, du skjønner kanskje tegningen. 
Alt fremført uten noe form for sjarm eller ekte innlevelse. 

Det blir rett og slett vanskelig å vurdere en time i hoppeslott som om det skulle være en faktisk konsert. 
For med unntak av ""Runaway (U & I)"" - som de selvfølgelig også avslutter med (kom igjen a!) - bygger Galantis opp luftslottet sitt slik: 
Oppbygging av en halvkjent låt, fyre opp publikum med noen svenske eller engelske gloser, sette på et hook og la et halsbrekkende drop overta i et minutt. 

Det eneste høydepunktet med unntak av at sola dukket opp midtveis var da en ivrig festdeltaker bak meg pælma et halvfullt ølglass over hodet på meg - et sårt trengt øyeblikk av virkelighet. 
",0
"Brolagt med gode intensjoner
Broen går seg vill i sitt eget ønske om å vært artsy. 

De har fått en del hype etter slippet av debutalbumet Yoga, kvintetten Broen. 
Et mildt sagt åpent forhold til sjangerbegrepet er mye av grunnen til det; Broen omfavner jazz, hiphop, triphop, spoken word og vestafrikanske rytmer med åpne armer. 

Mye av den mest interessante popen lages når kunst og musikk møtes - men strebenen etter å posisjonere seg i dét krysningspunktet er også et minefelt. 
Mange band har et tilsynelatende voldsomt ønske om å være mest mulig artsy, uten at kvaliteten på det de lager står i stil til intensjonene. 

På Øyas siste dag entrer Broen scenen i matchende gullpaljetter. 
Artig nok, det - og når Marianna S. A. Røe setter i gang med sin relativt autoritære rapping over en lydmiks av tuba, synth, trommer og gitar kan det i noen korte øyeblikk virke som vi har en underholdende time i møte. 

Dét inntrykket sitter ikke i lenge. 
Før ti minutter er gått, er Broen på dypt vann. 
Å være eksperimentell er ikke positivt i seg selv; de mange sjangrene og retningene i musikken gjør helehetsinntrykket rotete og meningsløst. 
Frontfigur Røe veksler mellom å synge og rappe. 
Hun er hakket mer engasjerende i sistnevnte uttrykksform, selv om låtene koker sammen til en masse av staffasje. 

""Den neste låta har vi skrevet til det greske nynazistpartiet Gylden Daggry. 
Vi har hatt jævlig lyst til å pisse på dem"", proklamerer bandet før ""Golden Shower"". 
Et nokså åpenbart standpunkt, som takket være måten det formidles på står igjen som intet mindre enn plumpt. 
Dessuten: 
Skal man uttrykke avskyen som trengs overfor partiet, burde det være mye mer kraft i låta. 

Medlemmene i Broen består av flinke folk fra jazzmiljøet, med fartstid i band som Your Headlights Are On. 
De sitter på både talent og musikalitet, men som Broen bør de ta et veivalg om hva de egentlig vil. 
Per nå virker det som de vil altfor mye, og resultatet er uforståelig. 
",0
